,method_num,host_num,content_length,url_len,digits,spec_chars,not_alpha_chars,payload_args,c_len,c_digits,c_spec_chars,c_not_alpha_chars,c_payload_args
78,0,1,4,66,7,8,18,0,4,1,0,2,0
79,2,1,0,58,7,8,18,0,0,0,0,0,0
80,2,1,0,91,7,9,21,1,0,0,0,0,0
81,0,1,33,57,7,8,18,0,33,0,0,2,0
82,2,1,0,59,7,8,18,0,0,0,0,0,0
83,2,1,0,100,12,11,31,3,0,0,0,0,0
84,0,1,43,56,7,8,18,0,43,5,2,12,2
85,2,1,0,60,7,8,18,0,0,0,0,0,0
86,2,1,0,300,46,25,92,13,0,0,0,0,0
87,0,1,240,59,7,8,18,0,240,39,16,73,12
88,2,1,0,75,8,9,22,1,0,0,0,0,0
89,0,1,17,57,7,8,18,0,17,1,0,3,0
90,2,1,0,58,7,8,18,0,0,0,0,0,0
91,2,1,0,55,7,8,18,0,0,0,0,0,0
92,2,1,0,56,7,8,18,0,0,0,0,0,0
93,2,1,0,57,7,8,18,0,0,0,0,0,0
94,2,1,0,67,7,9,19,0,0,0,0,0,0
95,2,1,0,66,7,9,19,0,0,0,0,0,0
96,2,1,0,67,7,9,19,0,0,0,0,0,0
97,2,1,0,57,7,8,18,0,0,0,0,0,0
98,2,1,0,335,47,26,97,13,0,0,0,0,0
99,0,1,276,58,7,8,18,0,276,40,17,78,12
100,2,1,0,57,7,8,18,0,0,0,0,0,0
101,2,1,0,57,7,8,18,0,0,0,0,0,0
102,2,1,0,53,8,8,19,0,0,0,0,0,0
103,2,1,0,53,8,8,19,0,0,0,0,0,0
104,2,1,0,53,8,8,19,0,0,0,0,0,0
105,2,1,0,59,7,8,18,0,0,0,0,0,0
106,2,1,0,56,7,8,18,0,0,0,0,0,0
107,2,1,0,65,7,8,18,0,0,0,0,0,0
108,2,1,0,48,7,7,17,0,0,0,0,0,0
109,2,1,0,125,14,14,39,5,0,0,0,0,0
110,0,1,67,57,7,8,18,0,67,7,5,20,4
111,2,1,0,121,8,13,29,5,0,0,0,0,0
112,0,1,59,61,7,8,18,0,59,1,4,10,4
113,2,1,0,71,8,9,21,1,0,0,0,0,0
114,0,1,4,66,7,8,18,0,4,1,0,2,0
115,2,1,0,58,7,8,18,0,0,0,0,0,0
116,2,1,0,91,7,9,21,1,0,0,0,0,0
117,0,1,33,57,7,8,18,0,33,0,0,2,0
118,2,1,0,59,7,8,18,0,0,0,0,0,0
119,2,1,0,95,12,11,29,3,0,0,0,0,0
120,0,1,38,56,7,8,18,0,38,5,2,10,2
121,2,1,0,60,7,8,18,0,0,0,0,0,0
122,2,1,0,327,50,26,103,13,0,0,0,0,0
123,0,1,267,59,7,8,18,0,267,43,17,84,12
124,2,1,0,75,8,9,22,1,0,0,0,0,0
125,0,1,17,57,7,8,18,0,17,1,0,3,0
126,2,1,0,58,7,8,18,0,0,0,0,0,0
127,2,1,0,55,7,8,18,0,0,0,0,0,0
128,2,1,0,56,7,8,18,0,0,0,0,0,0
129,2,1,0,57,7,8,18,0,0,0,0,0,0
130,2,1,0,67,7,9,19,0,0,0,0,0,0
131,2,1,0,66,7,9,19,0,0,0,0,0,0
132,2,1,0,67,7,9,19,0,0,0,0,0,0
133,2,1,0,57,7,8,18,0,0,0,0,0,0
134,2,1,0,327,49,26,98,13,0,0,0,0,0
135,0,1,268,58,7,8,18,0,268,42,17,79,12
136,2,1,0,57,7,8,18,0,0,0,0,0,0
137,2,1,0,57,7,8,18,0,0,0,0,0,0
138,2,1,0,53,8,8,19,0,0,0,0,0,0
139,2,1,0,53,8,8,19,0,0,0,0,0,0
140,2,1,0,53,8,8,19,0,0,0,0,0,0
141,2,1,0,59,7,8,18,0,0,0,0,0,0
142,2,1,0,56,7,8,18,0,0,0,0,0,0
143,2,1,0,65,7,8,18,0,0,0,0,0,0
144,2,1,0,48,7,7,17,0,0,0,0,0,0
145,2,1,0,132,16,16,43,5,0,0,0,0,0
146,0,1,74,57,7,8,18,0,74,9,7,24,4
147,2,1,0,124,13,13,35,5,0,0,0,0,0
148,0,1,62,61,7,8,18,0,62,6,4,16,4
149,2,1,0,71,8,9,21,1,0,0,0,0,0
150,0,1,4,66,7,8,18,0,4,1,0,2,0
151,2,1,0,58,7,8,18,0,0,0,0,0,0
152,2,1,0,91,7,9,21,1,0,0,0,0,0
153,0,1,33,57,7,8,18,0,33,0,0,2,0
154,2,1,0,59,7,8,18,0,0,0,0,0,0
155,2,1,0,94,11,11,28,3,0,0,0,0,0
156,0,1,37,56,7,8,18,0,37,4,2,9,2
157,2,1,0,60,7,8,18,0,0,0,0,0,0
158,2,1,0,302,49,25,98,13,0,0,0,0,0
159,0,1,242,59,7,8,18,0,242,42,16,79,12
160,2,1,0,75,8,9,22,1,0,0,0,0,0
161,0,1,17,57,7,8,18,0,17,1,0,3,0
162,2,1,0,58,7,8,18,0,0,0,0,0,0
163,2,1,0,55,7,8,18,0,0,0,0,0,0
164,2,1,0,56,7,8,18,0,0,0,0,0,0
165,2,1,0,57,7,8,18,0,0,0,0,0,0
166,2,1,0,67,7,9,19,0,0,0,0,0,0
167,2,1,0,66,7,9,19,0,0,0,0,0,0
168,2,1,0,67,7,9,19,0,0,0,0,0,0
169,2,1,0,57,7,8,18,0,0,0,0,0,0
170,2,1,0,325,45,25,95,13,0,0,0,0,0
171,0,1,266,58,7,8,18,0,266,38,16,76,12
172,2,1,0,57,7,8,18,0,0,0,0,0,0
173,2,1,0,57,7,8,18,0,0,0,0,0,0
174,2,1,0,53,8,8,19,0,0,0,0,0,0
175,2,1,0,53,8,8,19,0,0,0,0,0,0
176,2,1,0,53,8,8,19,0,0,0,0,0,0
177,2,1,0,59,7,8,18,0,0,0,0,0,0
178,2,1,0,56,7,8,18,0,0,0,0,0,0
179,2,1,0,65,7,8,18,0,0,0,0,0,0
180,2,1,0,48,7,7,17,0,0,0,0,0,0
181,2,1,0,130,15,14,40,5,0,0,0,0,0
182,0,1,72,57,7,8,18,0,72,8,5,21,4
183,2,1,0,126,9,14,32,5,0,0,0,0,0
184,0,1,64,61,7,8,18,0,64,2,5,13,4
185,2,1,0,71,8,9,21,1,0,0,0,0,0
186,0,1,4,66,7,8,18,0,4,1,0,2,0
187,2,1,0,58,7,8,18,0,0,0,0,0,0
188,2,1,0,91,7,9,21,1,0,0,0,0,0
189,0,1,33,57,7,8,18,0,33,0,0,2,0
190,2,1,0,59,7,8,18,0,0,0,0,0,0
191,2,1,0,95,12,11,29,3,0,0,0,0,0
192,0,1,38,56,7,8,18,0,38,5,2,10,2
193,2,1,0,60,7,8,18,0,0,0,0,0,0
194,2,1,0,308,46,23,92,13,0,0,0,0,0
195,0,1,248,59,7,8,18,0,248,39,14,73,12
196,2,1,0,75,8,9,22,1,0,0,0,0,0
197,0,1,17,57,7,8,18,0,17,1,0,3,0
198,2,1,0,58,7,8,18,0,0,0,0,0,0
199,2,1,0,55,7,8,18,0,0,0,0,0,0
200,2,1,0,56,7,8,18,0,0,0,0,0,0
201,2,1,0,57,7,8,18,0,0,0,0,0,0
202,2,1,0,67,7,9,19,0,0,0,0,0,0
203,2,1,0,66,7,9,19,0,0,0,0,0,0
204,2,1,0,67,7,9,19,0,0,0,0,0,0
205,2,1,0,57,7,8,18,0,0,0,0,0,0
206,2,1,0,298,46,26,93,13,0,0,0,0,0
207,0,1,239,58,7,8,18,0,239,39,17,74,12
208,2,1,0,57,7,8,18,0,0,0,0,0,0
209,2,1,0,57,7,8,18,0,0,0,0,0,0
210,2,1,0,53,8,8,19,0,0,0,0,0,0
211,2,1,0,53,8,8,19,0,0,0,0,0,0
212,2,1,0,53,8,8,19,0,0,0,0,0,0
213,2,1,0,59,7,8,18,0,0,0,0,0,0
214,2,1,0,56,7,8,18,0,0,0,0,0,0
215,2,1,0,65,7,8,18,0,0,0,0,0,0
216,2,1,0,48,7,7,17,0,0,0,0,0,0
217,2,1,0,132,16,16,43,5,0,0,0,0,0
218,0,1,74,57,7,8,18,0,74,9,7,24,4
219,2,1,0,129,16,13,37,5,0,0,0,0,0
220,0,1,67,61,7,8,18,0,67,9,4,18,4
221,2,1,0,71,8,9,21,1,0,0,0,0,0
222,0,1,4,66,7,8,18,0,4,1,0,2,0
223,2,1,0,58,7,8,18,0,0,0,0,0,0
224,2,1,0,91,7,9,21,1,0,0,0,0,0
225,0,1,33,57,7,8,18,0,33,0,0,2,0
226,2,1,0,59,7,8,18,0,0,0,0,0,0
227,2,1,0,95,12,11,29,3,0,0,0,0,0
228,0,1,38,56,7,8,18,0,38,5,2,10,2
229,2,1,0,60,7,8,18,0,0,0,0,0,0
230,2,1,0,331,48,26,97,13,0,0,0,0,0
231,0,1,271,59,7,8,18,0,271,41,17,78,12
232,2,1,0,75,8,9,22,1,0,0,0,0,0
233,0,1,17,57,7,8,18,0,17,1,0,3,0
234,2,1,0,58,7,8,18,0,0,0,0,0,0
235,2,1,0,55,7,8,18,0,0,0,0,0,0
236,2,1,0,56,7,8,18,0,0,0,0,0,0
237,2,1,0,57,7,8,18,0,0,0,0,0,0
238,2,1,0,67,7,9,19,0,0,0,0,0,0
239,2,1,0,66,7,9,19,0,0,0,0,0,0
240,2,1,0,67,7,9,19,0,0,0,0,0,0
241,2,1,0,57,7,8,18,0,0,0,0,0,0
242,2,1,0,325,46,26,97,13,0,0,0,0,0
243,0,1,266,58,7,8,18,0,266,39,17,78,12
244,2,1,0,57,7,8,18,0,0,0,0,0,0
245,2,1,0,57,7,8,18,0,0,0,0,0,0
246,2,1,0,53,8,8,19,0,0,0,0,0,0
247,2,1,0,53,8,8,19,0,0,0,0,0,0
248,2,1,0,53,8,8,19,0,0,0,0,0,0
249,2,1,0,59,7,8,18,0,0,0,0,0,0
250,2,1,0,56,7,8,18,0,0,0,0,0,0
251,2,1,0,65,7,8,18,0,0,0,0,0,0
252,2,1,0,48,7,7,17,0,0,0,0,0,0
253,2,1,0,130,15,14,40,5,0,0,0,0,0
254,0,1,72,57,7,8,18,0,72,8,5,21,4
255,2,1,0,128,10,13,32,5,0,0,0,0,0
256,0,1,66,61,7,8,18,0,66,3,4,13,4
257,2,1,0,71,8,9,21,1,0,0,0,0,0
258,0,1,4,66,7,8,18,0,4,1,0,2,0
259,2,1,0,58,7,8,18,0,0,0,0,0,0
260,2,1,0,91,7,9,21,1,0,0,0,0,0
261,0,1,33,57,7,8,18,0,33,0,0,2,0
262,2,1,0,59,7,8,18,0,0,0,0,0,0
263,2,1,0,95,12,11,29,3,0,0,0,0,0
264,0,1,38,56,7,8,18,0,38,5,2,10,2
265,2,1,0,60,7,8,18,0,0,0,0,0,0
266,2,1,0,313,42,24,90,13,0,0,0,0,0
267,0,1,253,59,7,8,18,0,253,35,15,71,12
268,2,1,0,75,8,9,22,1,0,0,0,0,0
269,0,1,17,57,7,8,18,0,17,1,0,3,0
270,2,1,0,58,7,8,18,0,0,0,0,0,0
271,2,1,0,55,7,8,18,0,0,0,0,0,0
272,2,1,0,56,7,8,18,0,0,0,0,0,0
273,2,1,0,57,7,8,18,0,0,0,0,0,0
274,2,1,0,67,7,9,19,0,0,0,0,0,0
275,2,1,0,66,7,9,19,0,0,0,0,0,0
276,2,1,0,67,7,9,19,0,0,0,0,0,0
277,2,1,0,57,7,8,18,0,0,0,0,0,0
278,2,1,0,310,51,25,99,13,0,0,0,0,0
279,0,1,251,58,7,8,18,0,251,44,16,80,12
280,2,1,0,57,7,8,18,0,0,0,0,0,0
281,2,1,0,57,7,8,18,0,0,0,0,0,0
282,2,1,0,53,8,8,19,0,0,0,0,0,0
283,2,1,0,53,8,8,19,0,0,0,0,0,0
284,2,1,0,53,8,8,19,0,0,0,0,0,0
285,2,1,0,59,7,8,18,0,0,0,0,0,0
286,2,1,0,56,7,8,18,0,0,0,0,0,0
287,2,1,0,65,7,8,18,0,0,0,0,0,0
288,2,1,0,48,7,7,17,0,0,0,0,0,0
289,2,1,0,125,14,14,39,5,0,0,0,0,0
290,0,1,67,57,7,8,18,0,67,7,5,20,4
291,2,1,0,122,9,14,31,5,0,0,0,0,0
292,0,1,60,61,7,8,18,0,60,2,5,12,4
293,2,1,0,71,8,9,21,1,0,0,0,0,0
294,0,1,4,66,7,8,18,0,4,1,0,2,0
295,2,1,0,58,7,8,18,0,0,0,0,0,0
296,2,1,0,91,7,9,21,1,0,0,0,0,0
297,0,1,33,57,7,8,18,0,33,0,0,2,0
298,2,1,0,59,7,8,18,0,0,0,0,0,0
299,2,1,0,95,12,11,29,3,0,0,0,0,0
300,0,1,38,56,7,8,18,0,38,5,2,10,2
301,2,1,0,60,7,8,18,0,0,0,0,0,0
302,2,1,0,306,45,25,91,13,0,0,0,0,0
303,0,1,246,59,7,8,18,0,246,38,16,72,12
304,2,1,0,75,8,9,22,1,0,0,0,0,0
305,0,1,17,57,7,8,18,0,17,1,0,3,0
306,2,1,0,58,7,8,18,0,0,0,0,0,0
307,2,1,0,55,7,8,18,0,0,0,0,0,0
308,2,1,0,56,7,8,18,0,0,0,0,0,0
309,2,1,0,57,7,8,18,0,0,0,0,0,0
310,2,1,0,67,7,9,19,0,0,0,0,0,0
311,2,1,0,66,7,9,19,0,0,0,0,0,0
312,2,1,0,67,7,9,19,0,0,0,0,0,0
313,2,1,0,57,7,8,18,0,0,0,0,0,0
314,2,1,0,296,43,22,87,13,0,0,0,0,0
315,0,1,237,58,7,8,18,0,237,36,13,68,12
316,2,1,0,57,7,8,18,0,0,0,0,0,0
317,2,1,0,57,7,8,18,0,0,0,0,0,0
318,2,1,0,53,8,8,19,0,0,0,0,0,0
319,2,1,0,53,8,8,19,0,0,0,0,0,0
320,2,1,0,53,8,8,19,0,0,0,0,0,0
321,2,1,0,59,7,8,18,0,0,0,0,0,0
322,2,1,0,56,7,8,18,0,0,0,0,0,0
323,2,1,0,65,7,8,18,0,0,0,0,0,0
324,2,1,0,48,7,7,17,0,0,0,0,0,0
325,2,1,0,129,14,14,39,5,0,0,0,0,0
326,0,1,71,57,7,8,18,0,71,7,5,20,4
327,2,1,0,122,9,13,30,5,0,0,0,0,0
328,0,1,60,61,7,8,18,0,60,2,4,11,4
329,2,1,0,71,8,9,21,1,0,0,0,0,0
330,0,1,4,66,7,8,18,0,4,1,0,2,0
331,2,1,0,58,7,8,18,0,0,0,0,0,0
332,2,1,0,91,7,9,21,1,0,0,0,0,0
333,0,1,33,57,7,8,18,0,33,0,0,2,0
334,2,1,0,59,7,8,18,0,0,0,0,0,0
335,2,1,0,94,11,11,28,3,0,0,0,0,0
336,0,1,37,56,7,8,18,0,37,4,2,9,2
337,2,1,0,60,7,8,18,0,0,0,0,0,0
338,2,1,0,322,47,27,99,13,0,0,0,0,0
339,0,1,262,59,7,8,18,0,262,40,18,80,12
340,2,1,0,75,8,9,22,1,0,0,0,0,0
341,0,1,17,57,7,8,18,0,17,1,0,3,0
342,2,1,0,58,7,8,18,0,0,0,0,0,0
343,2,1,0,55,7,8,18,0,0,0,0,0,0
344,2,1,0,56,7,8,18,0,0,0,0,0,0
345,2,1,0,57,7,8,18,0,0,0,0,0,0
346,2,1,0,67,7,9,19,0,0,0,0,0,0
347,2,1,0,66,7,9,19,0,0,0,0,0,0
348,2,1,0,67,7,9,19,0,0,0,0,0,0
349,2,1,0,57,7,8,18,0,0,0,0,0,0
350,2,1,0,302,49,25,94,13,0,0,0,0,0
351,0,1,243,58,7,8,18,0,243,42,16,75,12
352,2,1,0,57,7,8,18,0,0,0,0,0,0
353,2,1,0,57,7,8,18,0,0,0,0,0,0
354,2,1,0,53,8,8,19,0,0,0,0,0,0
355,2,1,0,53,8,8,19,0,0,0,0,0,0
356,2,1,0,53,8,8,19,0,0,0,0,0,0
357,2,1,0,59,7,8,18,0,0,0,0,0,0
358,2,1,0,56,7,8,18,0,0,0,0,0,0
359,2,1,0,65,7,8,18,0,0,0,0,0,0
360,2,1,0,48,7,7,17,0,0,0,0,0,0
361,2,1,0,129,14,14,39,5,0,0,0,0,0
362,0,1,71,57,7,8,18,0,71,7,5,20,4
363,2,1,0,127,11,14,33,5,0,0,0,0,0
364,0,1,65,61,7,8,18,0,65,4,5,14,4
365,2,1,0,71,8,9,21,1,0,0,0,0,0
366,0,1,4,66,7,8,18,0,4,1,0,2,0
367,2,1,0,58,7,8,18,0,0,0,0,0,0
368,2,1,0,91,7,9,21,1,0,0,0,0,0
369,0,1,33,57,7,8,18,0,33,0,0,2,0
370,2,1,0,59,7,8,18,0,0,0,0,0,0
371,2,1,0,100,12,11,31,3,0,0,0,0,0
372,0,1,43,56,7,8,18,0,43,5,2,12,2
373,2,1,0,60,7,8,18,0,0,0,0,0,0
374,2,1,0,319,45,26,96,13,0,0,0,0,0
375,0,1,259,59,7,8,18,0,259,38,17,77,12
376,2,1,0,75,8,9,22,1,0,0,0,0,0
377,0,1,17,57,7,8,18,0,17,1,0,3,0
378,2,1,0,58,7,8,18,0,0,0,0,0,0
379,2,1,0,55,7,8,18,0,0,0,0,0,0
380,2,1,0,56,7,8,18,0,0,0,0,0,0
381,2,1,0,57,7,8,18,0,0,0,0,0,0
382,2,1,0,67,7,9,19,0,0,0,0,0,0
383,2,1,0,66,7,9,19,0,0,0,0,0,0
384,2,1,0,67,7,9,19,0,0,0,0,0,0
385,2,1,0,57,7,8,18,0,0,0,0,0,0
386,2,1,0,308,53,26,102,13,0,0,0,0,0
387,0,1,249,58,7,8,18,0,249,46,17,83,12
388,2,1,0,57,7,8,18,0,0,0,0,0,0
389,2,1,0,57,7,8,18,0,0,0,0,0,0
390,2,1,0,53,8,8,19,0,0,0,0,0,0
391,2,1,0,53,8,8,19,0,0,0,0,0,0
392,2,1,0,53,8,8,19,0,0,0,0,0,0
393,2,1,0,59,7,8,18,0,0,0,0,0,0
394,2,1,0,56,7,8,18,0,0,0,0,0,0
395,2,1,0,65,7,8,18,0,0,0,0,0,0
396,2,1,0,48,7,7,17,0,0,0,0,0,0
397,2,1,0,132,16,16,43,5,0,0,0,0,0
398,0,1,74,57,7,8,18,0,74,9,7,24,4
399,2,1,0,120,8,13,29,5,0,0,0,0,0
400,0,1,58,61,7,8,18,0,58,1,4,10,4
401,2,1,0,71,8,9,21,1,0,0,0,0,0
402,0,1,4,66,7,8,18,0,4,1,0,2,0
403,2,1,0,58,7,8,18,0,0,0,0,0,0
404,2,1,0,91,7,9,21,1,0,0,0,0,0
405,0,1,33,57,7,8,18,0,33,0,0,2,0
406,2,1,0,59,7,8,18,0,0,0,0,0,0
407,2,1,0,94,11,11,28,3,0,0,0,0,0
408,0,1,37,56,7,8,18,0,37,4,2,9,2
409,2,1,0,60,7,8,18,0,0,0,0,0,0
410,2,1,0,297,48,25,95,13,0,0,0,0,0
411,0,1,237,59,7,8,18,0,237,41,16,76,12
412,2,1,0,75,8,9,22,1,0,0,0,0,0
413,0,1,17,57,7,8,18,0,17,1,0,3,0
414,2,1,0,58,7,8,18,0,0,0,0,0,0
415,2,1,0,55,7,8,18,0,0,0,0,0,0
416,2,1,0,56,7,8,18,0,0,0,0,0,0
417,2,1,0,57,7,8,18,0,0,0,0,0,0
418,2,1,0,67,7,9,19,0,0,0,0,0,0
419,2,1,0,66,7,9,19,0,0,0,0,0,0
420,2,1,0,67,7,9,19,0,0,0,0,0,0
421,2,1,0,57,7,8,18,0,0,0,0,0,0
422,2,1,0,327,44,24,95,13,0,0,0,0,0
423,0,1,268,58,7,8,18,0,268,37,15,76,12
424,2,1,0,57,7,8,18,0,0,0,0,0,0
425,2,1,0,57,7,8,18,0,0,0,0,0,0
426,2,1,0,53,8,8,19,0,0,0,0,0,0
427,2,1,0,53,8,8,19,0,0,0,0,0,0
428,2,1,0,53,8,8,19,0,0,0,0,0,0
429,2,1,0,59,7,8,18,0,0,0,0,0,0
430,2,1,0,56,7,8,18,0,0,0,0,0,0
431,2,1,0,65,7,8,18,0,0,0,0,0,0
432,2,1,0,48,7,7,17,0,0,0,0,0,0
433,2,1,0,125,14,14,39,5,0,0,0,0,0
434,0,1,67,57,7,8,18,0,67,7,5,20,4
435,2,1,0,125,8,13,29,5,0,0,0,0,0
436,0,1,63,61,7,8,18,0,63,1,4,10,4
437,2,1,0,71,8,9,21,1,0,0,0,0,0
438,0,1,4,66,7,8,18,0,4,1,0,2,0
439,2,1,0,58,7,8,18,0,0,0,0,0,0
440,2,1,0,91,7,9,21,1,0,0,0,0,0
441,0,1,33,57,7,8,18,0,33,0,0,2,0
442,2,1,0,59,7,8,18,0,0,0,0,0,0
443,2,1,0,95,12,11,29,3,0,0,0,0,0
444,0,1,38,56,7,8,18,0,38,5,2,10,2
445,2,1,0,60,7,8,18,0,0,0,0,0,0
446,2,1,0,307,42,25,90,13,0,0,0,0,0
447,0,1,247,59,7,8,18,0,247,35,16,71,12
448,2,1,0,75,8,9,22,1,0,0,0,0,0
449,0,1,17,57,7,8,18,0,17,1,0,3,0
450,2,1,0,58,7,8,18,0,0,0,0,0,0
451,2,1,0,55,7,8,18,0,0,0,0,0,0
452,2,1,0,56,7,8,18,0,0,0,0,0,0
453,2,1,0,57,7,8,18,0,0,0,0,0,0
454,2,1,0,67,7,9,19,0,0,0,0,0,0
455,2,1,0,66,7,9,19,0,0,0,0,0,0
456,2,1,0,67,7,9,19,0,0,0,0,0,0
457,2,1,0,57,7,8,18,0,0,0,0,0,0
458,2,1,0,308,46,27,96,13,0,0,0,0,0
459,0,1,249,58,7,8,18,0,249,39,18,77,12
460,2,1,0,57,7,8,18,0,0,0,0,0,0
461,2,1,0,57,7,8,18,0,0,0,0,0,0
462,2,1,0,53,8,8,19,0,0,0,0,0,0
463,2,1,0,53,8,8,19,0,0,0,0,0,0
464,2,1,0,53,8,8,19,0,0,0,0,0,0
465,2,1,0,59,7,8,18,0,0,0,0,0,0
466,2,1,0,56,7,8,18,0,0,0,0,0,0
467,2,1,0,65,7,8,18,0,0,0,0,0,0
468,2,1,0,48,7,7,17,0,0,0,0,0,0
469,2,1,0,129,14,14,39,5,0,0,0,0,0
470,0,1,71,57,7,8,18,0,71,7,5,20,4
471,2,1,0,122,8,13,29,5,0,0,0,0,0
472,0,1,60,61,7,8,18,0,60,1,4,10,4
473,2,1,0,71,8,9,21,1,0,0,0,0,0
474,0,1,4,66,7,8,18,0,4,1,0,2,0
475,2,1,0,58,7,8,18,0,0,0,0,0,0
476,2,1,0,91,7,9,21,1,0,0,0,0,0
477,0,1,33,57,7,8,18,0,33,0,0,2,0
478,2,1,0,59,7,8,18,0,0,0,0,0,0
479,2,1,0,95,12,11,29,3,0,0,0,0,0
480,0,1,38,56,7,8,18,0,38,5,2,10,2
481,2,1,0,60,7,8,18,0,0,0,0,0,0
482,2,1,0,297,47,24,92,13,0,0,0,0,0
483,0,1,237,59,7,8,18,0,237,40,15,73,12
484,2,1,0,75,8,9,22,1,0,0,0,0,0
485,0,1,17,57,7,8,18,0,17,1,0,3,0
486,2,1,0,58,7,8,18,0,0,0,0,0,0
487,2,1,0,55,7,8,18,0,0,0,0,0,0
488,2,1,0,56,7,8,18,0,0,0,0,0,0
489,2,1,0,57,7,8,18,0,0,0,0,0,0
490,2,1,0,67,7,9,19,0,0,0,0,0,0
491,2,1,0,66,7,9,19,0,0,0,0,0,0
492,2,1,0,67,7,9,19,0,0,0,0,0,0
493,2,1,0,57,7,8,18,0,0,0,0,0,0
